WIC_Job_Location_Snapshot_ID,Job_Title,Original_Job_Title,NOC21_Code,NOC21_Code_Name,First_Posting_Date,Month,Vacancy_Count,Province_Territory,City,Economic_Region,Employment_Type,Employment_Term,Education_LOS,Experience_Level,Salary_Condition_Detail,Salary_Per,Salary_Minimum,Salary_Maximum,Estimated_Annual_Min,Estimated_Annual_Max,Estimated_Annual_Mid,Salary_Valid,NOC21_Code_Clean,Digital Literacy,Numeracy,Problem Solving,Systems Analysis,Critical Thinking,Decision Making,Reading Comprehension,Writing,Troubleshooting,Time Management
15314696,data scientist,Sr. Data Engineer,21211.0,Data scientists,2026-03-10,2026-03,1,Ontario,Mississauga,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15342796,business data analyst,Not specified,21221.0,Business systems specialists,2026-03-20,2026-03,1,Alberta,Edmonton,Edmonton Region,Full time,Permanent employment,Bachelor's degree,2 years to less than 3 years,$48.10 hourly,Hour,48.1,48.1,100048.0,100048.0,100048.0,True,21221,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
15300233,data scientist,Data Scientist III (B),21211.0,Data scientists,2026-03-04,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15353077,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Edmundston,Edmundston–Woodstock Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15362570,data scientist,Not specified,21211.0,Data scientists,2026-03-29,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15314640,data scientist,"Senior Manager, Analytics &amp; Measurement",21211.0,Data scientists,2026-03-10,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15311340,data scientist,Senior Data Engineer- GFT,21211.0,Data scientists,2026-03-09,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15302672,data scientist,Full Stack Data Science Engineer,21211.0,Data scientists,2026-03-06,2026-03,1,Québec,Montréal,Montréal Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15323309,data analyst - informatics and systems,Not specified,21223.0,Database analysts and data administrators,2026-03-13,2026-03,1,Ontario,Etobicoke,Toronto Region,Full time,Permanent employment,Bachelor's degree,2 years to less than 3 years,$43.96 hourly,Hour,43.96,43.96,91436.8,91436.8,91436.8,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15323566,data scientist,"Data Scientist II, Digital Analytics",21211.0,Data scientists,2026-03-13,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15306899,data scientist,Not specified,21211.0,Data scientists,2026-03-06,2026-03,1,Québec,Not specified,Not specified,Full time,Permanent employment,Bachelor's degree,1 year to less than 2 years,$46.15 hourly,Hour,46.15,46.15,95992.0,95992.0,95992.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
